OA_MAIS,GV_CURBWGT,GV_DVLAT,GV_DVLONG,GV_ENERGY,GV_LANES,GV_OTVEHWGT,GV_SPLIMIT,OA_AGE,OA_HEIGHT,OA_WEIGHT,VE_ORIGAVTW,VE_WHEELBAS,VE_PDOF_TR,GV_FOOTPRINT,GV_MODELYR,GV_WGTCDTR,OA_BAGDEPLY,OA_MANUSE,OA_SEX,VE_GAD1
0,2050,,,,4,1630,45,65,183,107,158,287,115,4.5346,2004,Truck (<=6000 lbs.),Not Deployed,0,Male,Left
0,1630,,,,4,2050,45,46,178,83,152,270,125,4.104,2005,Passenger Car,Deployed,1,Male,Front
0,1880,,,,2,1170,45,86,178,80,164,291,165,4.7724,2007,Passenger Car,Not Deployed,1,Male,Front
0,1310,3,-20,325,2,1160,45,34,,65,147,270,125,3.969,2005,Passenger Car,Deployed,1,Female,Front
0,1540,,,,2,1570,35,57,183,102,155,274,115,4.247,2007,Passenger Car,Not Deployed,1,Female,Front
0,1200,0,33,683,2,2010,55,22,157,75,147,267,315,3.9249,2004,Passenger Car,Not Deployed,1,Female,Rear
0,2400,0,-11,145,5,1330,40,45,,,168,300,,5.04,2003,Truck (<=10000 lbs.),Not Deployed,1,Male,Front
1,1630,,,,2,,55,28,170,68,157,279,145,4.3803,2002,Passenger Car,Deployed,1,Male,Front
0,1840,6,-36,440,2,1550,55,48,178,113,154,262,125,4.0348,2005,Truck (<=6000 lbs.),Deployed,1,Male,Front
0,1420,-8,-46,2039,2,1810,55,22,,73,149,252,145,3.7548,2003,Truck (<=6000 lbs.),Deployed,1,Female,Front
0,1810,6,-36,460,2,1420,55,23,,68,151,269,125,4.0619,2003,Truck (<=6000 lbs.),Deployed,1,Male,Front
0,1490,,,,2,1590,45,45,,73,153,262,125,4.0086,2004,Truck (<=6000 lbs.),Deployed,1,Female,Front
0,1410,,,,2,,40,38,,,156,272,135,4.2432,2005,Passenger Car,Deployed,1,Female,Front
0,1440,0,-10,77,2,1220,55,18,,64,148,262,135,3.8776,2004,Truck (<=6000 lbs.),Deployed,1,Female,Front
0,1370,6,36,919,2,2130,45,47,163,61,156,267,325,4.1652,2004,Passenger Car,Not Deployed,1,Female,Rear
0,1580,,,,5,1570,35,53,,,157,280,,4.396,2004,Passenger Car,Not Deployed,1,Male,Front
0,1520,-14,-23,848,4,1310,45,31,188,86,147,252,165,3.7044,2007,Passenger Car,Deployed,1,Male,Front
0,1310,23,-28,534,2,1520,0,23,,57,151,249,95,3.7599,2002,Truck (<=6000 lbs.),Deployed,1,Male,Left
0,1530,-5,-15,286,2,2060,55,21,,127,155,272,155,4.216,2004,Passenger Car,Deployed,1,Female,Front
0,1550,0,-8,18,4,1330,30,20,,,151,276,135,4.1676,2007,Passenger Car,Deployed,1,Female,Front
0,1190,0,11,125,2,1220,55,60,183,93,145,253,315,3.6685,2003,Passenger Car,Not Deployed,1,Male,Rear
0,2040,,,,4,1220,30,59,,,157,278,135,4.3646,2008,Truck (<=6000 lbs.),Not Deployed,1,Female,Front
0,1560,0,-18,246,2,1520,0,47,157,64,155,266,135,4.123,2007,Truck (<=6000 lbs.),Not Deployed,1,Female,Front
0,1520,-9,-16,251,2,1560,40,28,,,154,262,165,4.0348,2004,Truck (<=6000 lbs.),Deployed,1,Female,Front
0,2330,0,-27,1078,2,1470,55,38,,,173,351,135,6.0723,2003,Truck (<=10000 lbs.),Deployed,1,Male,Front
0,1270,0,-17,101,2,1390,45,66,168,67,150,270,135,4.05,2006,Passenger Car,Deployed,1,Female,Front
0,1100,,,,1,1700,40,50,,,148,255,125,3.774,2008,Passenger Car,Not Deployed,1,Male,Front
0,1900,-27,-5,879,1,2370,30,34,185,77,160,304,,4.864,2007,Truck (<=6000 lbs.),Not Deployed,1,Male,
0,1840,,,,2,2100,30,45,160,77,164,299,175,4.9036,2003,Passenger Car,Not Deployed,1,Male,Front
0,2100,,,,1,1840,30,64,,,159,317,85,5.0403,2009,Passenger Car,Not Deployed,1,Male,Left
0,1630,0,-25,181,3,1360,50,29,,,151,276,135,4.1676,2007,Passenger Car,Deployed,1,Male,Front
0,1840,1,-7,68,2,1740,30,23,178,68,164,299,,4.9036,2003,Passenger Car,Not Deployed,1,Male,
0,1390,0,39,657,4,1510,30,29,178,75,157,274,315,4.3018,2005,Passenger Car,Not Deployed,1,Male,Rear
0,1510,0,-37,1032,4,1390,30,38,170,64,154,285,135,4.389,2007,Passenger Car,Deployed,1,Male,Front
0,1940,0,9,79,3,1490,50,42,157,74,162,303,315,4.9086,2003,Truck (<=6000 lbs.),Not Deployed,1,Female,Rear
0,1330,,,,3,1780,30,46,155,64,150,251,115,3.765,2002,Passenger Car,Not Deployed,1,Female,Left
0,1170,6,-17,116,2,2190,30,68,160,90,150,267,115,4.005,2005,Passenger Car,Not Deployed,1,Female,Front
0,1730,,,,2,1550,30,26,,,160,305,135,4.88,2007,Passenger Car,Deployed,,Male,Front
0,1770,,,,1,1390,30,18,155,54,,288,65,,2002,Truck (<=6000 lbs.),Not Deployed,1,Female,Left
0,1540,,,,4,1680,30,63,165,64,150,285,185,4.275,2004,Passenger Car,Not Deployed,1,Female,Front
0,2010,,,,1,1280,30,87,185,86,170,269,,4.573,2003,Truck (<=6000 lbs.),Not Deployed,1,Male,
0,1140,10,17,161,3,2130,35,39,178,75,146,260,345,3.796,2004,Passenger Car,Not Deployed,1,Male,Left
0,1210,,,,2,2580,30,22,,,153,260,195,3.978,2003,Passenger Car,Deployed,1,Male,Right
0,1660,,,,4,1440,30,30,,,163,286,315,4.6618,2007,Passenger Car,Not Deployed,1,Male,Rear
0,1440,,,,4,1660,30,41,,,154,273,135,4.2042,2007,Passenger Car,Deployed,1,Female,Front
0,1920,-24,-28,1488,2,1080,30,44,157,73,162,285,175,4.617,2005,Truck (<=6000 lbs.),Deployed,1,Female,Front
0,1590,4,-10,106,3,1370,30,31,,,154,262,115,4.0348,2004,Truck (<=6000 lbs.),Deployed,1,Male,Front
0,1810,-6,-18,686,2,1470,30,43,178,78,157,293,155,4.6001,2005,Passenger Car,Deployed,1,Male,Front
0,1900,,,,2,1910,30,64,165,118,162,290,,4.698,2006,Passenger Car,Not Deployed,1,Male,
0,1400,,,,3,2180,50,28,180,75,148,262,135,3.8776,2006,Truck (<=6000 lbs.),Deployed,1,Male,Front
0,1890,-2,-13,134,3,1390,30,25,,,157,309,145,4.8513,2005,Passenger Car,Deployed,1,Male,Front
0,2100,,,,2,1310,30,57,173,73,169,300,315,5.07,2009,Truck (<=10000 lbs.),Not Deployed,1,Male,Rear
0,1140,8,-22,527,4,1200,30,40,183,91,145,245,115,3.5525,2007,Passenger Car,Not Deployed,1,Male,Left
0,2300,,,,4,1740,30,19,157,47,163,300,115,4.89,2005,Truck (<=10000 lbs.),Deployed,1,Female,Front
0,1210,-10,-11,171,2,1460,30,26,,,145,256,175,3.712,2002,Passenger Car,Not Deployed,1,Female,Front
0,1900,9,-3,132,2,1300,30,36,,,162,290,65,4.698,2004,Passenger Car,Deployed,1,Male,Front
0,2650,,,,2,,30,33,188,118,168,330,,5.544,2005,Truck (<=10000 lbs.),Deployed,1,Male,Front
0,1500,,,,4,,30,42,,,158,278,125,4.3924,2008,Passenger Car,Deployed,1,Male,Front
0,2030,,,,3,,35,78,,,170,296,125,5.032,2004,Truck (<=6000 lbs.),Not Deployed,1,Male,Front
0,2260,,,,2,2210,30,39,170,68,165,293,315,4.8345,2009,Truck (<=10000 lbs.),Not Deployed,1,Male,Rear
0,1890,,,,2,1450,30,33,,,,289,,,2003,Truck (<=6000 lbs.),Deployed,,Female,Front
0,1740,6,-7,138,1,1880,30,55,168,90,153,265,95,4.0545,2003,Truck (<=6000 lbs.),Not Deployed,1,Female,Left
0,1860,-19,-3,483,4,1130,40,30,,,155,289,215,4.4795,2005,Truck (<=6000 lbs.),Not Deployed,1,Male,Right
0,2540,,,,2,1420,45,42,,,174,365,,6.351,2008,Truck (<=10000 lbs.),Deployed,1,Male,Front
0,2780,,,,2,2540,45,48,180,145,173,357,,6.1761,2003,Truck (<=10000 lbs.),Not Deployed,1,Male,Front
0,1490,0,23,96,3,2740,50,25,,,156,258,315,4.0248,2007,Passenger Car,Not Deployed,1,Female,Rear
0,2740,0,-12,376,3,1490,50,24,,,173,303,135,5.2419,2003,Truck (<=10000 lbs.),Not Deployed,1,Male,Front
0,1410,0,-21,268,4,2090,50,83,168,66,150,272,135,4.08,2003,Passenger Car,Deployed,0,Male,Front
0,1500,0,-33,682,1,,35,66,180,108,157,276,135,4.3332,2005,Passenger Car,Deployed,1,Female,Front
